Orionintie|24.76728,60.18267
Juhannussilta|24.76078,60.18093
Niittymäentie|24.78092,60.16975
Orionin risti|24.7777,60.17746
Orion|24.77047,60.18091
Iivisniemi|24.68924,60.15
Iivisniemi|24.69118,60.15038
Riihitonttu|24.76202,60.17271
Riihitonttu|24.76227,60.17259
Iivissyrjä|24.69552,60.15246
Ali-Suomenoja|24.70564,60.15803
Luoteisrinne|24.70848,60.1586
Hyljekuja|24.71282,60.15639
Hyljekuja|24.71272,60.15641
Luoteismäki|24.71315,60.15854
Luoteisrinne|24.70867,60.15879
Ämmässuo|24.54271,60.24772
Ämmässuo|24.54055,60.24807
Niittymaa|24.78077,60.17243
Niittymaa|24.77845,60.17207
Niittykummun paloas.|24.77205,60.17096
Niittykummun paloas.|24.77009,60.17122
Niittykumpu|24.76245,60.17075
Niittykumpu|24.76288,60.17106
Tontunmäentie|24.77896,60.17461
Koivu-Mankkaan tie|24.77944,60.17305
Tontunmäentie|24.77912,60.17545
Niittykumpu|24.76368,60.17114
Niittykumpu|24.762,60.17072
Orion Diagnostic|24.77782,60.18326
Hannuksenpelto|24.69765,60.1531
Oriola|24.76916,60.18312
Hannuksenpelto|24.6967,60.15311
Hannus|24.70392,60.15711
Orion|24.77136,60.18035
Hannus|24.70348,60.15701
Ali-Suomenoja|24.70657,60.15874
Ali-Suomenoja|24.70724,60.15958
Finnoonsolmu|24.70792,60.16034
Orion Diagnostic|24.77869,60.1822
Orionin risti|24.7759,60.17755
Puolarmetsänkuja|24.68987,60.17303
Niittysilta|24.76731,60.16826
Odilampi|24.76605,60.30044
Kotitonttu|24.76742,60.1731
Metsämaa|24.75568,60.30298
Odilampi|24.76346,60.3012
Kalajärvi|24.73815,60.30694
Kalajärvenranta|24.73158,60.30964
Kortesmäki|24.74926,60.30432
Kalajärvi|24.73601,60.30771
Metsämaa|24.75364,60.30331
Kortesmäki|24.74827,60.30469
Metsätonttu|24.7764,60.17491
Tonttupolku|24.76991,60.1761
Metsätonttu|24.77753,60.17487
Kotitonttu|24.76721,60.17339
Tonttupolku|24.77028,60.17554
Tapiolan urheilup.|24.77873,60.17886
Tapiolan urheilup.|24.77849,60.17792
Kaskimäki|24.60438,60.17543
Kurtintie|24.60042,60.1818
Kungsgårdsskolan|24.59976,60.18357
Kurtinmäki|24.60216,60.17816
Kurtintie|24.60061,60.18221
Kaskimäki|24.60497,60.17436
Kurtinmäki|24.60186,60.17883
Ahtaanmäki|24.6873,60.17298
Lipparinne|24.73369,60.23899
Lipparinne|24.73476,60.23921
Puolarmäki|24.6874,60.17571
Aurinkoniitty|24.73068,60.23689
Aurinkoniitty|24.73153,60.23709
Lähderanta|24.7383,60.24003
Lähderanta|24.73949,60.24146
Kukkumäki|24.67472,60.18002
Kukkumäki|24.67732,60.17993
Puolarmäki|24.68784,60.17515
Kaskimaa|24.67,60.17678
Kurtinmäki|24.6104,60.17858
Laaksolahden urh.p.|24.75143,60.24647
Kuttulammentie|24.74724,60.24338
Kungsgårdsskolan|24.60043,60.18405
Laaksolahdenristi|24.74307,60.2414
Haukilahdensolmu|24.76961,60.16774
Laaksolahden urh.p.|24.75026,60.24566
Hyttipojankuja|24.60568,60.1917
Hyttipojankuja|24.60668,60.19192
Erik Basse|24.61086,60.19348
Erik Basse|24.61167,60.19364
Pirkanportti|24.59572,60.19443
Kauklahdentie|24.59387,60.19465
Bensuls|24.62125,60.19825
Bensuls|24.62217,60.19834
IV Huvilatie|24.75867,60.24594
Palokunnantie|24.76943,60.25155
Ramsaynkuja|24.58877,60.19617
Mankinpelto|24.58395,60.18792
Veini|24.76749,60.24377
Jupperin koulu|24.76964,60.24617
IV Huvilatie|24.75991,60.24642
Jupperin koulu|24.76946,60.24662
Hollanninmylly|24.5988,60.19031
Klippinki|24.59966,60.19287
Finnsinmäki|24.58041,60.18905
Hollanninmylly|24.59772,60.19126
Turkistie|24.59782,60.1939
Kauklahdentie|24.59269,60.19485
Ramsaynkuja|24.58963,60.19554
Klippinki|24.59981,60.1931
Peltorinne|24.76474,60.25832
Rinnetie|24.766,60.25615
Rinnetie|24.76639,60.25571
Veini|24.76714,60.2433
Laaksolahdenaukio|24.7677,60.24831
Laaksolahdenaukio|24.76564,60.24793
Kyytimäki|24.61609,60.19635
Kyytimäki|24.61495,60.19602
Puikkari|24.58897,60.18628
Kauklahden asema|24.60102,60.19023
Kauklahden asema|24.60128,60.19033
Kaivostie|24.77277,60.25383
Kaivostie|24.77091,60.25448
Mankinjoki|24.58647,60.1875
Riiantie|24.59231,60.18683
Luuvantie|24.77274,60.23866
Kauklahden asema|24.60112,60.19042
Riihitie|24.77378,60.24258
Riiantie|24.5921,60.18668
Hansakallio|24.59555,60.18797
Kauklahden asema|24.60167,60.19045
Puikkari|24.58829,60.18665
Hansakallio|24.59719,60.18847
Riihitie|24.77422,60.24333
Jupperinmetsä|24.77602,60.2488
Luuvantie|24.7725,60.23858
Jupperinmetsä|24.77569,60.24821
Jupperi|24.77237,60.25329
Jupperi|24.77507,60.25371
Pitkäjärvenranta|24.75508,60.24895
Pitkäjärvenranta|24.7569,60.2493
Kaivosmiehentie|24.76977,60.25233
Kaivosmiehentie|24.76694,60.25166
Huvilamäki|24.76441,60.25059
Huvilamäki|24.76301,60.25041
Rakuunanportti|24.80436,60.22005
Kuunsilta|24.72448,60.17256
Kuunsilta|24.72739,60.17271
Kuunkehrä|24.72541,60.1728
Koivuhovi/VR|24.70299,60.2069
Meteorinsilta|24.73461,60.16879
Meteorinsilta|24.73414,60.16915
Auringonkatu|24.73162,60.17156
Auringonkatu|24.73068,60.17271
Vallikatu|24.81383,60.22904
Puustellinmäki|24.82102,60.21955
Leppävaara uimahalli|24.80355,60.22538
Leppävaara uimahalli|24.80444,60.22566
Päiväntaite|24.73645,60.16695
Hakkukuja|24.81329,60.22434
Olarinkatu|24.73758,60.16623
Olarinristi|24.73958,60.16666
Timpurinkuja|24.81445,60.22257
Puustellinmäki|24.8217,60.21934
Leppävaara terveysas|24.81373,60.22195
Leppävaara terveysas|24.81373,60.22195
Aseveljentie|24.82451,60.22883
Kyyhkysmäki 10|24.81041,60.22853
Kyyhkysmäki|24.80686,60.22877
Kuitinmäenraitti|24.73008,60.16583
Friisinkalliontie|24.72609,60.16521
Piispanportti|24.73343,60.16564
Veräjäkallionkatu|24.80989,60.2272
Kuitinmäenraitti|24.73119,60.16594
Ajurinmäki|24.81471,60.22658
Kyyhkysmäki 4|24.81229,60.22875
Läkkisepänkuja|24.80986,60.22095
Leppävaaran asema|24.81018,60.21927
Leppävaaran asema|24.81334,60.21911
Leppävaaran asema|24.81092,60.21902
Leppävaaran asema|24.81058,60.21898
Läkkisepänkuja|24.81117,60.22105
Leppävaaran asema|24.8123,60.21894
Leppävaaran asema|24.81236,60.21894
Leppävaaran asema|24.81274,60.21896
Leppävaaran asema|24.81164,60.21893
Leppävaaran asema|24.81237,60.21914
Timpurinkuja|24.81442,60.22279
Leppävaaran asema|24.81161,60.2192
Leppävaaran asema|24.812,60.2192
Ajurinkatu|24.8126,60.22673
Leppävaaran asema|24.81115,60.21929
Läkkisepänkuja|24.81134,60.22132
Leppävaaran asema|24.8107,60.21927
Vallikallionkuja|24.82017,60.22631
Vallikatu|24.81475,60.22868
Viserrystie|24.81256,60.23087
Veräjäpelto|24.81049,60.22438
Veräjäpelto|24.81071,60.2232
Gransinmäki|24.80653,60.22155
Gransinmäki|24.80355,60.22268
Vallikatu|24.81365,60.22839
Rautakiskonkuja|24.81648,60.22881
Rautakiskonkuja|24.81755,60.22864
Ratsukatu|24.80775,60.22123
Leppävaaran keskus|24.81252,60.22007
Vallikuja|24.82092,60.22748
Leppävaaran keskus|24.81299,60.21984
Leppävaaran keskus|24.81219,60.21989
Hakkukuja|24.81337,60.22429
Vallikuja|24.81957,60.22801
Leppävaaran keskus|24.8119,60.22011
Rakuunanportti|24.80185,60.22015
Vallityöläisenpolku|24.82339,60.22716
Mutalampi|24.59526,60.26876
Solvik|24.5897,60.27654
Mutalampi|24.59526,60.26953
Nuuksionpää|24.53793,60.31662
Solvallan urheiluop.|24.55771,60.29391
Solvallan urheiluop.|24.5569,60.29448
Vesiniitty|24.67903,60.13616
Kalajärven keskus|24.73625,60.30633
Taka-Niipperi|24.73778,60.30131
Taka-Niipperi|24.73789,60.3017
Kasavuori|24.6642,60.13244
Laajalahden keskus|24.8051,60.20355
Leppäsolmu|24.81487,60.20911
Kasavuori|24.66379,60.13182
Soukanväylä|24.67543,60.14343
Ala-Soukka|24.67729,60.13867
Ala-Soukka|24.67709,60.13846
Näkinkaari|24.65467,60.14549
Soukan keskus|24.67137,60.14152
Soukankaari|24.67253,60.13993
Soukankaari|24.6725,60.14018
Soukankuja|24.67328,60.13789
Soukankuja|24.67337,60.13805
Alatörmä|24.67272,60.13617
Alatörmä|24.67287,60.13606
Alakartanonkuja|24.66948,60.13512
Alakartanonkuja|24.67033,60.13528
Odilampi|24.76457,60.30156
Kaskilaakso|24.66475,60.14108
Ruskatie|24.74096,60.30444
Kaskilaakso|24.66353,60.14102
Ruskatie|24.74149,60.305
Soukanlahti|24.65853,60.13965
Alaniementie|24.76128,60.30155
Soukanlahti|24.65859,60.13979
Kalajärvenranta|24.73088,60.30984
Soukan keskus|24.67125,60.14139
Kaskivuori|24.67359,60.14337
Kaskivuori|24.67265,60.14327
Soukanaukio|24.66883,60.14215
Soukanaukio|24.66821,60.14216
Soukankuja|24.67013,60.13765
Soukankuja|24.67353,60.13881
Kaskilaaksontie|24.66453,60.13966
Soukanraitti|24.67013,60.14077
Veininristi|24.76911,60.23759
Kuttulampi|24.75308,60.24335
Kuttulampi|24.75303,60.24342
Olkiniitty|24.75944,60.23631
Olkiniitty|24.75938,60.23643
Nuumäki|24.74327,60.23675
Vermo|24.84099,60.22112
Koivuhovi/VR|24.70299,60.2069
Rastasniityntie|24.75243,60.23245
Rastasniityntie|24.75277,60.23188
Rajasilta|24.53564,60.20072
Kallionsyrjä|24.73566,60.29856
Lähderanta|24.74098,60.23995
Lähderanta|24.74186,60.24064
Veininkatu|24.7645,60.24121
Kuttulammentie|24.7488,60.24387
Rastaala|24.76284,60.23726
Parrukuja|24.75352,60.23359
Parrukuja|24.75331,60.23336
Rastaala|24.76219,60.23702
Matinsyrjä|24.75135,60.16275
Iirislahti|24.75508,60.16122
Matinsyrjä|24.75224,60.16362
Telamäentie|24.75989,60.16156
Iirislahti|24.75527,60.16113
Telamäentie|24.76094,60.16122
Tiistinniitty|24.72536,60.16015
Tiistinniitty|24.72496,60.16089
Leilitie|24.73416,60.15855
Leilitie|24.73214,60.15827
Kalaonni|24.72662,60.15638
Kalaonni|24.7262,60.15719
Kalaonni|24.72747,60.15706
Latokasken koulu|24.65491,60.17908
Akselinpolku|24.745,60.15533
Sepetlahdentie|24.74728,60.15312
Anjankuja|24.74276,60.15791
Akselinpolku|24.74446,60.1563
Matinkatu 18|24.74111,60.15827
Matinkatu 5|24.74175,60.15836
Kala-Maija|24.74078,60.16024
Kala-Maija|24.7415,60.15978
Nauriskaski|24.65456,60.17401
Nauriskaski|24.65509,60.17315
Latokaski|24.65685,60.17666
Latokaski|24.6562,60.17662
Kaskenpolttaja|24.66015,60.17786
Kaskisavu|24.66513,60.17977
Kaskisavu|24.66545,60.17983
Kantokaski|24.67048,60.18113
Kirstinharju|24.66339,60.20037
Kaskenpolttaja|24.66063,60.17801
Kirstintie 7|24.6671,60.20123
Kirstintie 4|24.66629,60.201
Saarnimäenkuja|24.66945,60.19794
Saarnimäenkuja|24.66941,60.19773
Saarniraiviontie|24.66454,60.19963
Valapuisto|24.66286,60.20309
Valapuisto|24.66275,60.20309
Teekkarikylä|24.83449,60.18862
Teekkarikylä|24.83492,60.18833
Konemies|24.82372,60.18602
Krattivuorentie|24.64796,60.14423
Vuorimies|24.82595,60.18244
Vuorimies|24.82545,60.18236
Tekniikantie|24.82479,60.1807
Kolmperä|24.53317,60.24935
Kolmperän risti|24.52128,60.25265
Kolmperä|24.53423,60.24904
Kolmperän risti|24.52353,60.25229
Siikaristi|24.52427,60.25249
Siikaristi|24.52441,60.25268
Sähkömies|24.82959,60.18963
Innopoli|24.81447,60.185
Ristiniementie|24.65667,60.14119
Teknillinen korkeak.|24.82645,60.1863
Krattivuorentie|24.64506,60.14383
Tietotie|24.81901,60.18464
Laurinlahti|24.64084,60.14491
Konemies|24.82324,60.18629
Laurinlahti|24.64037,60.14574
Innopoli|24.81291,60.18609
Tietotie|24.81834,60.18437
