Niemitie|24.98058,60.26636
Sammalpolku|25.03194,60.26381
Sammalpolku|25.03205,60.26385
Fallkulla|25.03094,60.26293
Fallkulla|25.03092,60.26286
Falkullantie|25.02905,60.26136
Fallkullantie|25.0289,60.2613
Saniaiskuja|25.02855,60.25883
Saniaiskuja|25.02855,60.25884
Malminkaari|25.026,60.25735
Vallilan kirjasto|24.96179,60.19181
Hattulantie|24.95494,60.19531
Hattulantie|24.95499,60.19565
Elimäenkatu|24.95531,60.19381
Töölön tulli|24.91203,60.19169
Elielinaukio|24.93936,60.17197
Elielinaukio|24.93936,60.17196
Elielinaukio|24.9394,60.17185
Elielinaukio|24.93938,60.17184
Elielinaukio|24.93939,60.17174
Kuusitie|24.90115,60.19551
Elielinaukio|24.93941,60.17168
Kuusitie|24.90259,60.19522
Elielinaukio|24.9397,60.17218
Elielinaukio|24.93974,60.17211
Elielinaukio|24.93972,60.17205
Kokkokallio|24.84861,60.22888
Kokkokallio|24.84913,60.2288
Elielinaukio|24.93977,60.172
Senaatintori|24.95153,60.16904
Elielinaukio|24.93974,60.17113
Satamaradankatu|24.95233,60.19153
Satamaradankatu|24.95235,60.19157
Telekatu|24.95005,60.19321
Fleminginkatu|24.9528,60.18979
Jämsänkatu|24.94209,60.19661
Kaskisaari|24.8589,60.17378
Sturenkatu|24.95004,60.19114
Rautatientori|24.94327,60.17165
Rautatientori|24.94329,60.17134
Linnanherrantie|25.11381,60.22338
Rautatientori|24.94333,60.17085
Linnanherrantie|25.11436,60.22345
Rautatientori|24.94376,60.17192
Riskutie|25.10757,60.22017
Riskutie|25.10815,60.22011
Snellmaninkatu|24.95236,60.17401
Snellmaninkatu|24.95208,60.17407
Ritarihuone|24.95549,60.16914
Kangasalantie|24.95895,60.19547
Ritarihuone|24.95645,60.16917
Kangasalantie|24.95916,60.19563
Paavalin kirkko|24.96153,60.19817
Vironkatu|24.95332,60.17189
Vironkatu|24.95332,60.17188
Sipoonkatu|24.93886,60.19512
Hallituskatu|24.95351,60.17036
Kotkankatu|24.94278,60.19351
Fleminginkatu|24.95343,60.18956
Kustaankatu|24.95811,60.18933
Kustaankatu|24.95652,60.18947
Junatie|24.96231,60.18953
Karhulantie|25.10282,60.21806
Karhulantie|25.10429,60.21833
Karhulantie|25.10377,60.21772
Riskutie|25.10161,60.22472
Riskutie|25.10201,60.22473
Helytie|25.09719,60.22464
Helytie|25.09775,60.22455
Soraharjuntie|25.09326,60.22278
Hallituskatu|24.95351,60.17036
Junatie|24.96309,60.18964
Junatie|24.96051,60.1895
Pasilan konepaja|24.94443,60.19528
Telekatu|24.94925,60.19326
Pasilan konepaja|24.94557,60.19508
Päijänteentie|24.95434,60.19119
Päijänteentie|24.95609,60.19091
Vallilan kirjasto|24.96102,60.19201
Vallilan kirjasto|24.96136,60.19226
Soraharjuntie|25.09368,60.22361
Valkealantie|25.10042,60.21973
Valkealantie|25.09893,60.22002
Karhulantie|25.10147,60.2194
Kuutsalontie|25.10471,60.215
Sturenkatu|24.94831,60.19107
Mäkelänrinne|24.94955,60.19747
Fleminginkatu|24.95195,60.18985
Mäkelänrinne|24.94984,60.19773
Paavalin kirkko|24.96205,60.19842
Vallilan varikko|24.96272,60.19551
Hattulantie|24.95583,60.19531
Ristikkokatu|24.96451,60.19168
Elimäenkatu|24.95382,60.19302
Konalan puisto|24.86311,60.23293
Konalan puisto|24.862,60.23393
Jännetie|24.85406,60.22633
Jännetie|24.85318,60.22716
Pitäjänmäen asema|24.85844,60.22425
Pitäjänmäen asema|24.85743,60.22448
Laajasuontie|24.9066,60.21642
Kivihaka|24.90321,60.21281
Kivihaka|24.90026,60.21111
Kotikallio|24.84236,60.22241
Taavinkuja|24.84176,60.22436
Kyläkirkko|24.84334,60.226
Kyläkirkko|24.84353,60.22598
Knuutintie|24.84729,60.22575
Knuutintie|24.84836,60.22546
Kuutsalontie|25.10371,60.21484
Kivihaka|24.90581,60.208
Kivihaka|24.90238,60.20811
Itäväylä|25.11062,60.22091
Itäväylä|25.11071,60.22094
Inkeroistentie|25.09411,60.22138
Inkeroistentie|25.09444,60.22132
Muinaislinnanpolku|25.11469,60.21967
Muinaislinnanpolku|25.11469,60.21972
Uiskotie|25.11409,60.21834
Lappeentie|25.10458,60.22004
Lappeentie|25.09727,60.22324
Lehtisaarentie|24.84963,60.18153
Papinpöydänkuja|24.85072,60.18071
Papinpöydänkuja|24.85068,60.18086
Tykistökapteenintie|24.8481,60.18039
Pyhän Laurin tie|24.85468,60.1808
Vartiokyläntie|25.10781,60.2217
Sormuspolku|25.10517,60.22352
Kiviportintie|25.09258,60.22338
Uiskotie|25.11394,60.21833
Kivihaantie|24.90332,60.21153
Pyötsaarenkuja|25.11096,60.21634
Kivihaantie|24.90328,60.21155
Pyötsaarenkuja|25.11116,60.21641
Kylänevantie|24.90391,60.21089
Karhulantie|25.10204,60.21841
Kivihaankuja|24.90357,60.20939
Kivihaankuja|24.9038,60.20951
Nyytorpinpolku|25.09354,60.21845
Kylänevantie|24.9039,60.21091
Varjakanvalkama|25.11964,60.21835
Pyhän Laurin tie|24.85437,60.1806
Hiidenkiukaantie|24.85136,60.17921
Hiidenkiukaantie|24.85224,60.17978
Hiidenkiukaantie|24.85459,60.17922
Hiidenkiukaantie|24.85401,60.17898
Kalkkipaadenpuisto|24.85332,60.17742
Kalkkipaadenpuisto|24.8533,60.17747
Lehtisaarentie|24.84977,60.18039
Lehtisaarentie|24.85001,60.18041
Linnavuorentie|25.11817,60.22028
Varjakanvalkama|25.11707,60.21854
Ruotsinsalmentie|25.10828,60.21483
Huntutie|25.10319,60.22734
Huntutie|25.10316,60.22724
Ruotsinsalmentie|25.10828,60.2148
Puotilantie|25.10615,60.21429
Puotilantie|25.10601,60.21434
Johanneksen kirkko|24.94539,60.16332
Kirurgi|24.94821,60.16213
Tarkk ampujankatu|24.94753,60.16102
Eiran sairaala|24.9419,60.15801
Aurinkolahti|25.1565,60.2083
Eiran sairaala|24.94172,60.15806
Kapteeninkatu|24.94543,60.15825
Leikosaarentie|25.14594,60.20423
Kapteeninkatu|24.94513,60.15823
Neitsytpolku|24.94984,60.15849
Neitsytpolku|24.94957,60.15849
Kaivopuisto|24.95377,60.15929
Kaivopuisto|24.95471,60.15949
Johanneksen kirkko|24.94603,60.1628
Katajaharju|24.86092,60.16235
Ruoholahti|24.91742,60.15988
Melkonkuja|24.88157,60.15004
Viikki|25.01003,60.22931
Lahnalahdentie|24.87051,60.1614
Lemissaarentie|24.87632,60.16096
Herttoniemenranta|25.02573,60.18993
Kuusmiehentie|24.93762,60.25581
Suolakivenkuja|25.02986,60.18808
Rakovalkeantie|24.93853,60.25418
Suolakivenkuja|25.02984,60.18818
Tervastie|24.94095,60.2527
Reginankuja|25.0312,60.18671
Tervastie|24.94151,60.25147
Reginankuja|25.03074,60.18699
Rakovalkeantie|24.94031,60.25289
Killingholmankuja|25.03595,60.18704
Tallbergin puistotie|24.87451,60.15921
Koillisväylä|24.88379,60.16054
Koillisväylä|24.8835,60.16061
Ilmala/VR|24.91783,60.20922
Killingholmankuja|25.03566,60.18688
Kerttulikuja|25.03714,60.18923
Kivimäki|24.91874,60.25285
Kerttulikuja|25.0372,60.18883
Kivimäki|24.9188,60.25305
Kaivolahdenkatu|25.04042,60.18833
Repovuori|24.91996,60.24994
Repovuori|24.9198,60.25068
Tuorinniemi|25.04258,60.18706
Paloheinäntie|24.92264,60.2477
Tuorinniemi|25.04262,60.18668
Saramäentie|24.94679,60.24888
Kaivolahdenkatu|25.04106,60.18881
Raiviontie|24.94202,60.24918
Kaivolahdenkatu|25.04133,60.18775
Messitytönkatu|24.91585,60.16106
Messitytönkatu|24.91584,60.16118
Messitytönkuja|24.91318,60.16002
Messitytönkuja|24.91316,60.16002
Länsisatamankatu|24.91197,60.15877
Laivapojankatu|24.91204,60.15872
Rautatientori|24.9427,60.17098
Raiviontie|24.94213,60.24927
Kannelmäki/VR|24.87683,60.2396
Linnanrakentajantie|25.03976,60.19133
Raiviontie|24.94116,60.24969
Sisselenpolku|25.03457,60.19153
Raiviontie|24.94126,60.24962
Sisselenpolku|25.03411,60.19142
Kaskenpolttajantie|24.93426,60.24933
Kaskenpolttajantie|24.93492,60.24935
Johan Sederholmin t.|25.04524,60.1913
Pitkämäentie|24.92689,60.24872
Pitkämäentie|24.92861,60.24882
Paloheinäntie|24.9239,60.24687
Paloheinäntie|24.92389,60.24797
Rautatientori|24.9448,60.17113
Lasipalatsi|24.93807,60.17033
Postitalo|24.93844,60.17096
Santahamina|25.03965,60.14598
Kasarmit|25.04175,60.15038
Kasarmit|25.04102,60.14938
Linnanrakentajantie|25.03804,60.19273
Kadettikoulu|25.04598,60.15213
Linnanrakentajantie|25.04061,60.19236
Kadettikoulu|25.04565,60.15202
Hevossalmen silta|25.04905,60.15495
Hevossalmen silta|25.04894,60.1551
Reijolankatu|24.91936,60.1898
Reijolankatu|24.91769,60.18981
Kaisaniemi|24.94971,60.17347
Auroran sairaala|24.92366,60.19123
Töölön tulli|24.91102,60.19182
Töölön tulli|24.91246,60.19157
Kuusitie|24.90243,60.19479
Kuusitie|24.90303,60.1949
Ilmala/VR|24.91783,60.20922
Kaivokatu|24.93943,60.17033
Lokitie|25.13598,60.20924
Rautatientori|24.94261,60.17132
Elielinaukio|24.93972,60.17186
Rautatientori|24.94382,60.17034
Elielinaukio|24.93974,60.17179
Kannelmäki/VR|24.87683,60.2396
Elielinaukio|24.93984,60.17182
Herttoniemenranta|25.0256,60.19042
Laivalahdenportti|25.03494,60.19326
Elielinaukio|24.93972,60.17165
Elielinaukio|24.93958,60.1712
Rautatientori|24.94268,60.17076
Kaivokatu|24.93921,60.17035
Rautatientori|24.94329,60.17134
Rautatientori|24.94333,60.17085
Rautatientori|24.94299,60.17164
Rautatientori|24.94302,60.17132
Kipparlahti|25.02393,60.19212
Itäkeskus(M)|25.07738,60.20982
Rautatientori|24.94308,60.17095
Rautatientori|24.94276,60.17164
Rautatientori|24.94277,60.17133
Rautatientori|24.94283,60.17108
Rautatientori|24.94266,60.17141
Rautatientori|24.94324,60.17072
Rautatientori|24.94268,60.17076
Kaisaniemi|24.94914,60.17348
Kaisaniemi|24.95049,60.17502
Rautatientori|24.94382,60.17034
Lasipalatsi|24.93892,60.16958
Kantelettarentie|24.89256,60.23468
Klaneettipolku|24.879,60.23476
Klaneettipolku|24.87685,60.23449
Kaitalahti 2|25.02175,60.17338
Kaitalahti 1|25.02428,60.17503
Kaitalahti 1|25.02428,60.17507
Hakuninmaantie|24.88776,60.26165
Hakuninmaantie|24.88811,60.26137
Vakkatie|24.88522,60.25288
Maljatie|24.88891,60.25102
Maljatie|24.88875,60.25136
Serkustentie|24.89763,60.25638
Kuopuksentie|24.89715,60.25349
Kuopuksentie|24.89732,60.25404
Itäkeskus(M), tulo|25.07785,60.21033
Perhekunnantie|24.8927,60.24904
Itäkeskus(M)|25.0766,60.21008
Itäkeskus(M)|25.07617,60.20992
Perhekunnantie|24.89359,60.24811
Kappatie|24.87773,60.259
Kapteenintie|25.21546,60.26002
Edita|24.88619,60.26121
Kuninkaantammentie|24.88494,60.2636
Kuninkaantammentie|24.88498,60.26346
Kappatie|24.87731,60.26039
Kalannintie|24.88402,60.25202
Kalannintie|24.88321,60.25346
Perhekunnantie|24.89235,60.24843
Korsnäsintie|25.218,60.26022
Korsnäsintie|25.21992,60.26017
Knutersintie|25.2084,60.25977
Knutersintie|25.21029,60.2596
Karhusaarentie|25.19043,60.25475
Keriharju|24.89005,60.24781
Karhusaarentie|25.1921,60.25515
Keriharju|24.88898,60.24783
Östersundom 2|25.18352,60.25313
Östersundom 2|25.18589,60.25347
Östersundom|25.174,60.25141
Östersundom|25.17509,60.25129
Talosaarentie|25.16341,60.24942
Talosaarentie|25.16443,60.24954
Vikkulla 2|25.15646,60.24737
Vikkulla 2|25.15555,60.24674
Vikkulla|25.15243,60.24581
Vikkulla|25.15141,60.24534
Westerkulla|25.14297,60.24422
Westerkulla|25.14191,60.2431
Isokaari|24.86163,60.15912
Katajaharju|24.86046,60.16256
Isokaari|24.86139,60.15903
Viklakuja|24.86002,60.15812
Viklakuja|24.85998,60.15809
Luoteisväylä|24.85951,60.15655
Lounaisväylä|24.85962,60.15651
Särkiniemi|24.87856,60.14832
Takaniementie|24.8639,60.15511
Ensi linja|24.94011,60.18361
Kuntatalo|24.94114,60.18445
Takaniementie|24.86408,60.15508
Kajavatie|24.86777,60.15498
Kajavatie|24.86781,60.15498
Tiirasaarentie|24.87062,60.15573
Tiirasaarentie|24.87065,60.1557
Isokaari|24.86939,60.15682
Isokaari|24.86937,60.15682
Kirkko|24.86997,60.15921
Castréninkatu|24.94536,60.18276
Haahkakuja|24.87556,60.15745
Castréninkatu|24.94524,60.18287
Haahkakuja|24.87556,60.15746
Kaarlenkatu|24.95146,60.18554
Karhupuisto|24.95256,60.18357
Karhupuisto|24.95249,60.18359
Kallion virastotalo|24.94999,60.18127
Haahkakuja|24.87607,60.15676
Haakakuja|24.87615,60.15675
Haahkatie|24.88067,60.15641
Haahkatie|24.88063,60.1564
Otavantie|24.87967,60.1577
Otavantie|24.87931,60.15774
Terveyskeskus|24.88393,60.1614
Terveyskeskus|24.8835,60.16141
Kotkavuori|24.88024,60.16263
Kotkavuori|24.88019,60.16271
Gyldenintie|24.88008,60.16358
Gyldenintie|24.88017,60.16363
Maamonlahdentie|24.88199,60.16416
Maamonlahdentie|24.88248,60.16424
Koillisväylä|24.88785,60.1636
Koillisväylä|24.88794,60.16356
Pohjoisniementie|24.89068,60.16259
Pohjoisniementie|24.89056,60.16265
Huopalahti/VR|24.8934,60.21837
Palvelutalo|24.89248,60.1591
Vatakuja|24.88962,60.15918
Vatakuja|24.88994,60.15924
Pajalahdentie|24.88706,60.15911
Vattuniemenkatu|24.88449,60.15656
Melkonkuja|24.88344,60.14904
Kallion virastotalo|24.94839,60.18156
Melkonkatu|24.87889,60.15384
Melkonkatu|24.88017,60.15414
Wavulinintie|24.87657,60.15332
Nahkahousuntie|24.88587,60.15126
Vattuniemenkuja|24.88507,60.15336
Vattuniemenkuja|24.88473,60.15393
Heikkiläntie|24.8856,60.15661
Heikkiläntie|24.88541,60.15653
Pajalahdentie|24.88787,60.15971
Pajalahdentie|24.88662,60.15886
Lauttasaaren silta|24.89126,60.16131
Särkiniemenpolku|24.87718,60.152
Melkonkuja|24.88167,60.1497
Särkiniemenpolku|24.87704,60.15229
Vattuniemi|24.8854,60.14952
Melkonkatu|24.88245,60.15206
Melkonkatu|24.88264,60.15089
Kiviaidankatu|24.88136,60.15433
Kiviaidankatu|24.88144,60.15394
Särkiniementie|24.8764,60.1539
Malmin asema|25.01265,60.25018
Pilssikuja|25.13052,60.21319
Teerisuonkuja|25.02557,60.25091
Pilssikuja|25.1298,60.21303
Teerisuonkuja|25.02561,60.25097
Rastilantie 11|25.12637,60.21206
Malmin asema|25.01192,60.24996
Rastila(M)|25.1199,60.2054
Rastila(M)|25.11985,60.20494
Rastilantie 11|25.12646,60.21209
Rastila(M)|25.12049,60.20562
Rastila(M)|25.11971,60.2058
Aurinkolahti|25.15776,60.20783
Särkiniementie|24.87722,60.15365
Hevosenkenkäpuisto|24.87399,60.15729
Hevosenkenkäpuisto|24.87384,60.15759
Lahnalahden puisto|24.87498,60.16071
Nahkahousuntie|24.878,60.15013
Lahnalahdentie|24.8697,60.16161
Lahnalahden puisto|24.87626,60.16085
Nahkahousuntie|24.88576,60.15124
Katajaharju|24.85737,60.16819
Koivusaarentie|24.85843,60.16492
Nallenmäentie|25.03338,60.24752
Malmin asematie|25.00818,60.24924
Rastilantie 17|25.12453,60.211
Malmin asematie|25.0077,60.24926
Malmin asema|25.01236,60.25049
Pyrytie|25.02981,60.24988
Rastilantie 17|25.12459,60.21104
Pohj. ostoskeskus|25.14033,60.22177
Malmin asema|25.01237,60.25022
Tullivuorenkuja|25.03503,60.24484
Mustalahdentie|25.13601,60.22219
Mustalahdentie|25.13582,60.22227
Sumukuja|25.15792,60.2056
Paavolantie|25.01101,60.24865
Koivusaarentie|24.85843,60.16521
Vaskiniementie|24.85971,60.16182
Vaskiniementie|24.85976,60.16207
Viklakuja|24.86154,60.1583
Viklakuja|24.86085,60.15934
Takaniementie|24.86538,60.15665
Takaniementie|24.86445,60.15688
Kuikkarinne|24.86863,60.15688
Kuikkarinne|24.86791,60.1568
Lauttasaaren kirkko|24.87184,60.15792
Paavolantie|25.01278,60.24882
Pekanraitti|25.01796,60.25127
Pekanraitti|25.01751,60.25168
Soidintie|25.01394,60.2526
Vuotie|25.1517,60.2077
Vuotie|25.15195,60.20762
Soidintie|25.01507,60.25315
Malmin asema|25.01215,60.25152
Aurinkolahti|25.15843,60.20854
Iiluodonkuja|25.15482,60.20501
Iiluodonkuja|25.15537,60.20505
Leikosaarentie|25.14879,60.2042
Leikosaarentie|25.14892,60.20422
Huopalahti/VR|24.8934,60.21837
Lauttasaaren kirkko|24.87228,60.15817
Lauttasaarentie 32|24.87963,60.16046
Lauttasaarentie 33|24.87946,60.16055
Koillisväylä|24.88663,60.16085
Koillisväylä|24.88418,60.16068
Lauttasaaren silta|24.89116,60.16113
Lauttasaaren silta|24.89056,60.16126
Nahkahousuntie|24.87813,60.1498
Saniaistie|25.02386,60.25643
Iiluodontie|25.14414,60.20368
Saniaistie|25.02477,60.25644
Iiluodontie|25.14482,60.20375
Vedenottamontie|25.13906,60.20293
Vedenottamontie|25.14019,60.20297
Lokipolku|25.13062,60.20964
Mosaiikkitori|25.14269,60.20917
Mosaiikkitori|25.14272,60.2094
Vuosaari(M)|25.14414,60.20747
Vuosaari(M)|25.14455,60.20717
Lokipolku|25.13053,60.20965
Usvatie|25.0344,60.24396
Usvatie|25.03355,60.24359
Kaivonkatsojanpuisto|25.13657,60.20344
Raetie|25.02771,60.2426
Kaivonkatsojanpuisto|25.13639,60.20388
Raetie|25.02813,60.24243
Latokartanontie|25.01998,60.24263
Päiväkoti|25.14475,60.2141
Latokartanontie|25.02026,60.24253
Päiväkoti|25.14488,60.21409
Teerisuontie|25.02227,60.25247
Kallvikintie|25.13522,60.20962
Teerisuontie|25.02167,60.25316
Lallintie|25.01998,60.25008
Kallvikintie|25.13504,60.20962
Lallintie|25.02018,60.25005
Ala-Malmin raitti|25.01654,60.24952
Porslahdentie|25.14915,60.22224
Kallahdenraitti|25.1339,60.20222
Kallahdenraitti|25.1341,60.2022
Harbonkuja|25.12267,60.20061
Harbonkuja|25.12295,60.20063
Fokkatori|25.11725,60.20237
Fokkatori|25.11712,60.20228
Halkaisijantie|25.12732,60.20136
Leppätie|24.99342,60.25147
Halkaisijantie|25.12767,60.20138
Malmin asema tulo|25.00911,60.24981
Ramsinniementie|25.11925,60.20029
Malmin asema tulo|25.00912,60.2505
Ramsinniementie|25.11964,60.2001
Meri-Rastilan tori|25.11772,60.20424
Ala-Malmi|25.01131,60.24725
Meri-Rastilan tori|25.11821,60.20482
Ala-Malmi|25.01138,60.24755
Porslahdentie|25.14876,60.2221
Ruotutorpankuja|25.00326,60.24685
Isonvillasaarentie|25.14579,60.21981
Eskolantie|24.99679,60.24328
Isonvillasaarentie|25.14643,60.22069
Eskolantie|24.99639,60.24318
Lokkisaarentie|25.1474,60.21576
Riihenkulma|25.0153,60.24336
Lokkisaarentie|25.14786,60.21637
Vanha viertotie|24.87955,60.21302
