Cazze optikko|25.1014499,60.4029526
Herkkumökki|25.108280739999998,60.4032479
Kanervatie|
Liinakkotie|
Ahjon koirapuisto|25.130494875,60.402059775
Tapiolantie|
Loitsutie|
Autosalpa|25.1133673,60.3901771
Niinikatu|
Apollonkuja|
Koukkutienpuiston leikkipaikka|25.145340233333332,60.40386673333333
Kauppakaari|
Savirunninkatu|
Pikku Hurmuri|25.1135903,60.3894477
Terästie|
Kaunis Koti|25.0996224,60.4037518
Lapilan tenniskentät|25.115907099999998,60.403506533333335
Suorannankatu|
Sibeliuksentie|
Louhenkuja|
Unto Suomisenkuja|
El Bul|25.1043394,60.4045478
Peurankuja|
Ollilankuja|
Siwa|25.0934272,60.391215
Sienikatu|
Aapontie|
Pursutie|
Teboil|25.0990769,60.3911449
Päiväkoti Aarre|25.14035886,60.399684019999995
Tierantie|
Peltolan paja|25.124706257142858,60.360713042857135
Sariolantie|
Ahjonsilta|
Askelkuja|
Keravan kirkko|25.11185174166667,60.402000683333334
Tuomikatu|
Räätälintie|
Kytkinkatu|
Juhanintie|
Sakerintie|
Tuomaantie|
Koppelonkatu|
Tuohitie|
Menninkäiskuja|
Tuijantie|
Liivikauppa|25.0985708,60.4037686
Porttipolku|
Neulaskuja|
Näädänkuja|
Metsärinne|
Moukarikuja|
Vaihdekatu|
Museopolku|
Annantie|
B|25.1099105,60.3968239
Kukka Koti|25.1095373,60.4006411
ABC|25.1020294,60.3981922
Vallinpääntie|
Muurainkuja|
Keravan teatteritalo|25.1075361,60.4008589
HUB Logistics Oy|25.116193105882353,60.41186593529412
Kankurinpolku|
Lammaskallionkatu|
Päivärinteentie|
Liippapolku|
Valakkakuja|
Metsolankuja|
Svenskbacka skola|25.09499668,60.391329240000005
Vanamontie|
Kumitehtaankatu|
Jaakonmäen leikkipaikka|25.11699435,60.39655893333333
Keravan uimahalli|25.092325,60.40837425714285
Varsapolku|
Vastapolku|
Kuusikkotie|
Elzu|25.0971327,60.38159406923077
Angervontie|
Vekaravintti|25.1015998,60.4028772
Oliver's Antique|25.1362668,60.4015465
Vesitorninkuja|
Palvelukeskus Hopeahovi|25.08829,60.41041042941177
Päivölänkuja|
Ilmarisentie|
Terhikintie|
Sudenkatu|
Ilveskuja|
Mustikkakuja|
Keravan avovankila|25.139922282352945,60.42740480588236
Jännekatu|
Keravanjoen koulu|25.12017254,60.403755860000004
Mäkipolku|
Keskipellonkatu|
Kärpänkuja|
Porvoonkatu|
Valintatalo|25.0961138,60.4129619
Otsontie|
Ravikuja|
Kiurunpolku|
Koirapolku|
Raiviokuja|
Hiuskaari|25.1001721,60.4036865
Sampotunneli|
Palopolku|
Martinkyläntie|
Postlarinkuja|
Senioripuisto|25.094034111111107,60.40875797777778
Vanha Kino|25.0989522,60.4028985
St1 Kerava Santaniitynkatu|25.1116016,60.399104
Juho-Kusti|25.10434860769231,60.405653015384615
Sammontie|
Haavikkopolku|
Väinämöisentie|
Sali Pool & Lounge|25.1061159,60.41109673999999
Tonttukuja|
Ragdoll|25.0983562,60.4029486
Sementtitehtaankatu|
Savuhovi Oy|25.122908244444446,60.42655546666666
Anttila Kerava|25.10410408888889,60.40269251111111
Varpukatu|
Keravan Taide- ja museokeskus Sinkka|25.108619779999998,60.400895219999995
Kalevanraitti|
Dressman|25.1013465,60.4005803
Keravan kartano|25.1196877,60.4100084
D|25.1021325,60.4030769
Marjatantie|
Varjakontie|
Kerava-sali|25.1006241,60.4048918
Saukonkuja|
Killan raitti|
Loukkukuja|
Koff|25.112498455555563,60.38122646666667
Pölkkypolku|
Vasamakatu|
Kantelentie|
Pub O'Robins|25.0991471,60.4027371
Punainen Pallo|25.109743,60.3993706
Ylikeravan kaukolämpökeskus|25.110520881818182,60.40977269090909
K-Market Kalevantori|25.09003592222222,60.42028596666666
Kelloliike Soikkeli|25.1001023,60.4033222
Höyläkuja|
Alikeravan voimalaitos|25.109926519999995,60.38962686
Keravan maauimala|25.093125949999997,60.40782473333334
Kaakkurinkatu|
Nissen|25.1021432,60.4026309
Musti ja Mirri|25.109066,60.4000141
Kellobaari|25.105187,60.4048565
Lepistöntie|
Teerimäentie|
Lapilantie|
SR-rauta|25.14304398095238,60.405975985714285
Männistöntie|
Killan koulu|25.082586733333326,60.404424011111104
Jäspilänkuja|
Helluntaiseurakunta|25.108212754545455,60.402105145454556
Ritakuja|
Marttilankatu|
Saviontaival|
Jokimiehentie|
Keuda-talo|25.10076388181819,60.40527566666667
Kielonkuja|
Kotipizza Kerava|25.0990184,60.4028153
Porvoontie|
Karhuntassuntie|
Wanha Veijari|25.0930568,60.3805847
Hirvenkatu|
Luhtaniituntie|
Kokkikartano|25.104623780000004,60.38912298
Jäkälätie|
Kirjaston kahvila|25.1026697,60.4053679
Onnellinen Kana|25.102247,60.403039
Paasikivenpuisto|25.1020502,60.4050875
Sompion päiväkoti|25.093216,60.401341
Paussi|25.09089712,60.40699886
Lintupolku|
Pohjolantie|
Heikkilän neuvola|25.109995593749996,60.40607581875
Äespolku|
Moreenitie|
Velhokuja|
Keski-Uudenmaan eläinlääkäriasema|25.1089123,60.3990858
CM Hiustalo|25.101655,60.4005668
Pälvitie|
Lindex|25.0984528,60.4037858
Laitekuja|
Nuolikuja|
Mielikintie|
04200 Kerava|25.100827,60.4034365
Maahiskuja|
Vanha Valtatie|
Tapulikatu|
Jaakkolanpiha|
Hakalantie|
Oravankuja|
Teboil D3 Kerava|25.1079093,60.3866812
Junailijankatu|
Ala-Koivikon raitti|
Vesikonkuja|
Kivitaskunkatu|
Huonekalukirppis|25.0991719,60.4034904
Lumikonkuja|
Montessoripäiväkoti Mio|25.0937666,60.3911146
Lemminkäisentie|
Merineulantie|
Tesankatu|
Pizzataxi|25.1137364,60.3892314
Rasikuja|
Nikonkatu|
Oksatie|
Sirkunpuiston leikkipaikka|25.101399666666666,60.41283658888889
Palokorvenkuja|
Karhunkuja|
Puuverstas|25.13197838,60.42462596
Vehkalantie|
Kirjosiivenkuja|
Keinukallion frisbeegolfrata|25.1402066,60.3834993
Rihmakuja|
Latvatie|
Savion lähiliikuntapaikka|25.09441428,60.38275212
Naavapuiston päiväkoti|25.088478300000002,60.385274499999994
Kovasintie|
Pesäkuja|
Takojankuja|
Kuusisaarentie|
Sport Bar|25.1023565,60.4021808
Ala-Koivikontie|
Kirvespolku|
Kehrääjänkatu|
Mahlatie|
Yrttipolku|
Lapilan päiväkoti|25.1152028125,60.403088700000005
Lintulammenkatu|
Sompion koirapuisto|25.09710825,60.39644336
Panama Jack|25.0993589,60.4039043
Miiluaukio|
Turjankuja|
H|25.1125632,60.4104448
Törmäkuja|
Nissinojantie|
Raitakuja|
Myyränpolku|
Vomma|25.0988904,60.4035154
Taulamatintie|
Tehtaanmäenkatu|
Tuusulantaival|
Mesimarjakuja|
Paatsamantie|
Rahkapolku|
Terhotie|
Mattopiiat|25.1074167,60.4002097
Nikkelikuja|
Ritvatie|
Mäntyniementie|
Intelco Oy|25.09413722,60.40469237999999
Junailijanpolku|
Niitty-Nummen hoitokoti|25.1279744,60.3716943
Hormikuja|
Jurvalantie|
Päivärinteenpolku|
Fenno Optikko|25.1011314,60.4005964
Hesburger Kerava|25.1005526,60.4004796
Nissilänkuja|
Peltolantie|
Ritvakuja|
Ompelimo Silkki-Nahka Ylänkö|25.0998518,60.4026967
Huhtakuja|
Asemantie|
Parturikeskus|25.0984981,60.4028272
Galleria Alli|25.10383193846154,60.404716046153844
Metsämyllynpolku|
Cafe Village|25.0992061,60.4038724
Neste Asemansilta|25.10945424,60.403292439999994
Riistapolku|
Vanha pappila|25.110405350000004,60.40266735
Kauppakaaren kampaamo|25.1015239,60.4029168
Metsämaanpolku|
Killan koirapuisto|25.081411042857145,60.405535914285714
Valintatalo Ahjo|25.140634083333335,60.404099116666664
Killanpuiston leikkipaikka|25.084625816666662,60.40611850000001
Keihäskuja|
Cafe Intro|25.101443,60.4039779
Santaniitynkuja|
Lapilanpuiston leikkipaikka|25.11638935,60.403592512500005
Alepa Kerava|25.1097949,60.4000807
Mode Ulla|25.0988084,60.4037366
Keravan ammattiopisto|25.09876466086956,60.3974973173913
Peltomäenkatu|
Parkkikuja|
Provencale|25.103479,60.4050849
Keravan kirjasto|25.1030945,60.4055214
Sarviniitynkatu|
Instrumentarium|25.1001377,60.4036047
Kuusiaidankuja|
Hemmolantie|
Torikatu|
Pohjolanpuiston leikkipaikka|25.090081933333334,60.414550677777775
Nurmikkokuja|
Vesurikuja|
Ruusukuva|25.1017096,60.4035296
Itäkaari|
Sinebrychoffinaukio|
Untamontie|
Ahmankatu|
Keravan musiikkiopisto|25.104360616666668,60.40331971666668
Eero J. Virtasenkuja|
Kannistonkatu|
Impivaarantie|
Nopsasiivenkuja|
Rajamäentie|
Ilmarisen päiväkoti|25.079591,60.416161339999995
Tuluskuja|
Duck Pizza Kebab|25.14548932,60.39036828
Seppälä Kerava|25.1018398,60.4005498
Untolan vuoropäiväkoti|25.095653650000003,60.406528466666664
Keinukallion laskettelukeskus|25.1350759,60.3843609
Sampolanraitti|
Expert|25.1065324,60.4009604
Keravan yhteiskoulu|25.0968999,60.4004473
Kimalaiskedon leikkipaikka|25.10587015384616,60.42678163076923
Kuusisaarenkuja|
Killan Mestari|25.0842197,60.4090065
Koivurinne|
Kylätie|
Keravan poliisiasema|25.101463,60.4040396
Spielhaus|25.09161661111111,60.405535022222224
Rajatie|
Kantokatu|
Kokontie|
Keskuskoulu|25.1010438,60.4063701
Kotopellonkatu|
Keravan Lukko Oy|25.0935229,60.4021405
Marttilan päiväkoti|25.08857594,60.38408602
Tenniskeskus|25.09051503333333,60.41066987777778
Keravan Löytö|25.1103069,60.3994913
Varpupolku|
Puualhonpolku|
Mäyräkorventie|
Sementtitehtaanpolku|
Alepa|25.0896991,60.4085879
Royal Nepal|25.0992047,60.4030391
Ainontie|
Seunala|25.090493371428572,60.401826785714285
K-citymarket Kerava|25.101073,60.4001797
Ketjutie|
Vuorelanmäki|
Koukkusuontie|
Pihkaniityn lämpökeskus|25.105625742857143,60.42343654285714
K-Kenkä|25.1007652,60.4006287
FIDA lähetystori|25.1091168,60.399387
Metsäriihenpolku|
DNA Kauppa|25.1010977,60.40292
Kalevankatu|
Kisapolku|
Vuohenkalmantie|
Siikiläntie|
Puumerkki Oy|25.144534540000002,60.406137120000004
Keravan opisto|25.1009684,60.4024707
Koukkutie|
Ahjonrinne|
Papintie|
Kulloontie|
Tuurankuja|
Parturi-kampaamo Ilvonen Terhi|25.1003373,60.4038961
Kankurinkatu|
Salavapuiston leikkipaikka|25.09366036,60.381976959999996
Nyyrikinkuja|
Ketunkorventie|
Skippie's Bar|25.10932924,60.40256488
Vipusentie|
Sudenkuja|
Ylikeravantie|
Ravintola Ahjon Oloneuvos|25.14012826,60.400997919999995
Nyyrikinpolku|
Leppäkuja|
Lehtitie|
Harjulankatu|
Vaihdekuja|
Kurkelanväylä|
Raudikkotie|
Telatehtaanpolku|
Kaukonpolku|
Jokimiehenkuja|
Lapilanpolku|
Kumitehtaanpolku|
Ukonkatu|
Hydromarket|25.108188,60.3970202
