Siriuksenpolku|25.08404,60.34579
Myyräpolku|25.0813,60.35267
Myyräpolku|25.08161,60.35275
Metsolanpolku|25.08447,60.35017
Metsolanpolku|25.08474,60.35056
Korson asema, lait.8|25.08085,60.35126
Korson asema, lait.7|25.08228,60.3508
Piisamikuja|25.09986,60.35086
Piisamikuja|25.10211,60.35088
Majavatie|25.09164,60.3513
Majavatie|25.09204,60.35122
Siilikuja|25.08546,60.35094
Siilikuja|25.08547,60.35088
Jokivarrenkuja|25.10526,60.35221
Peltomyyränkuja|25.08471,60.35331
Korpikontiontie|25.0863,60.35443
Korpikontiontie|25.08764,60.35501
Minkkipolku|25.0832,60.34708
Minkkipolku|25.08337,60.34701
Siilitie|25.09151,60.34514
Siilitie|25.08927,60.3453
Hanskallio|24.91468,60.34594
Hanskallio|24.91441,60.34662
Laurintie|25.07343,60.33099
Rekolan koulu|25.07482,60.33287
Karintie|25.07565,60.33371
Kustaantie|25.07019,60.32729
Talvitie|24.91013,60.35861
Kevättie|24.90705,60.35707
Kevättie|24.90668,60.35696
Kesäkyläntie|24.90408,60.3494
Rajamäentie|24.93629,60.34077
Rajamäentie|24.93791,60.34141
Myllykyläntie|24.92468,60.33653
Myllykyläntie|24.92258,60.33663
Myllykyläntie|24.92308,60.33572
Kuutamotie|24.92019,60.3421
Kuutamotie|24.92037,60.34124
Tähtitie|24.91788,60.3442
Tähtitie|24.91891,60.34367
Kesäkylänti|24.90328,60.34916
Kesäkyläntie|24.90458,60.34905
Kuusistontie|24.89715,60.34886
Kuusistontie|24.89936,60.34889
Mirjantie|25.08531,60.32542
Mirjantie|25.0849,60.32466
Pikkukoski|25.08983,60.32863
Pikkukoski|25.08968,60.32853
Riitantie|25.08625,60.32929
Pekanpolku|25.08499,60.32951
Pekankuja|25.07899,60.32987
Pekankuja|25.08057,60.32981
Kustaantie|25.07084,60.32786
Laurintie|25.07233,60.32993
Hanabölenkoski|25.08323,60.32258
Laurintie|25.0737,60.33011
Koivupää|24.86956,60.32244
Runkokuja|24.88736,60.31839
Murtopakankuja|24.86777,60.32498
Riipiläntie 63|24.86523,60.34067
Linnankalliontie|24.86257,60.33296
Linnankalliontie|24.86305,60.33357
Tuohipolku|24.88082,60.31967
Tuohipolku|24.8813,60.31954
Kaskitie|24.87485,60.32185
Kaskitie|24.87494,60.32171
Forsbackantie|24.8648,60.34255
Forsbackantie|24.86512,60.34244
Rajalantie|24.86352,60.33669
Rajalantie|24.86399,60.3372
Sotilaskorventie|24.86273,60.33036
Sotilaskorventie|24.86291,60.331
Murtopakantie|24.86575,60.32723
Murtopakantie|24.86706,60.32608
Koivupääntie|24.86887,60.32204
Koivupääntie|24.86908,60.32273
Riipiläntie 63|24.86453,60.33933
Piispankyläntie|24.87009,60.31893
Kierretie|24.81541,60.26424
Kaislatie|25.02371,60.29049
Tikkurilan jäähalli|25.02662,60.30105
Tikkurilan jäähalli|25.02911,60.30021
Tikkurilan urheilup.|25.02178,60.30239
Koisotie|25.02167,60.30177
Näsiätie|25.01768,60.29898
Näsiätie|25.01765,60.29879
Rantakukankuja|25.01572,60.29537
Virmajuurentie|25.01589,60.29612
Kuminatie|25.01707,60.29227
Keltamotie|25.02777,60.28976
Keltamotie|25.02769,60.2896
Viertolan koulu|25.02122,60.2912
Osmankäämintie|25.0157,60.29205
Osmankäämintie|25.01791,60.29154
Uimahalli|25.03247,60.29964
Ortodoksinen kirkko|25.03367,60.299
Minttutie|25.02311,60.30254
Tikkurilan urheilup.|25.02328,60.30182
Peltolan tori|25.02962,60.29374
Peltolan tori|25.03007,60.29362
Savikkatie|25.02434,60.29387
Savikkatie|25.02565,60.29374
Lauhatie|25.01849,60.29399
Lauhatie|25.02012,60.29386
Pärispruunpuisto|24.82694,60.28066
Pärispruunpuisto|24.82517,60.2802
Martinkyläntie|24.83488,60.28171
Tiilipojanlenkki|24.81009,60.27743
Tiilipojanlenkki|24.80861,60.27672
Korso/VR|25.07811,60.35066
Voimalantie|24.8332,60.28393
